"Type.of.feeding.interaction","Predator.lifestage","slope","intercept","R_squared","F_statistic","p_value","n"
"insectivorous","larva/juvenile",0.384249046154571,0.41085561349436,0.125577629410638,4.3083628793485,0.0465944025225442,32
"piscivorous","adult",0.285409207488912,3.04230934042686,0.0762549666793182,1460.96633985587,3.21527852229151e-307,17700
"piscivorous","juvenile",0.223480124508157,3.78759705139129,0.0715818776775036,233.384440178512,8.16786748022443e-51,3029
"piscivorous","larva/juvenile",0.652630804441673,2.15727970672255,0.502262057547569,9.08180416316188,0.0146301686798565,11
"piscivorous","postlarva",0.106773528674381,-1.09766442150068,0.038969869305227,1.25705314524183,0.270820006991042,33
"planktivorous","adult",0.802761886290888,3.87815102648538,0.224199133583999,45.0825287172977,3.3177192139938e-10,158
"planktivorous","juvenile",0.168911383542264,1.13499506432389,1,NA,NA,2
"planktivorous","larva",0.204221090759679,-0.879153566846335,0.0876722735852067,98.3075854003913,3.45409437932595e-22,1025
"planktivorous","larva/juvenile",0.537539976546298,2.20757509090594,0.2383099678989,36.918661170477,1.55071505486172e-08,120
"planktivorous","postlarva/juvenile",0.675479706794875,2.95889440474228,0.231238785388309,78.808036384014,1.10590667174252e-16,264
"predacious","adult",0.321994355406017,3.35636234035414,0.146129065719436,1356.94671825975,2.36661210566893e-274,7931
"predacious","juvenile",0.932339687360722,3.09872917399731,0.628987013196308,3560.17922469952,0,2102
"predacious","larva",0.323614384510348,0.621931166248409,0.114146688218641,155.914631584789,9.61358023701353e-34,1212
"predacious","larva/juvenile",0.512543148452051,1.56495875082157,0.423997091277262,357.009636853166,4.43552228318592e-60,487
"predacious","postlarva",0.15403834606651,-0.700843567967422,0.109207422360889,8.58170550266892,0.00458060708606848,72
"predacious","postlarva/juvenile",0.21164969664339,0.724032267841635,0.14416882005629,99.0513879135294,1.13623625843003e-21,590
"predacious/piscivorous","adult",0.531028610582127,2.07757273211364,0.341154098535761,82.3310906945517,4.19117303972455e-16,161
