"","Date","Time","Count","Loc","Category","Scientific","CommonName"
"1","2023/9/16","7-8",8,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"2","2023/9/16","8-9",2,"DGS","Raptor","Falco amurensis","Amur Falcon"
"3","2023/9/16","9-10",8,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"4","2023/9/16","13-14",1,"DGS","Raptor","Tachyspiza gularis","Japanese Sparrowhawk"
"5","2023/9/16","13-14",2,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"6","2023/9/16","15-16",1,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"7","2023/9/17","8-9",1,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"8","2023/9/17","8-9",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"9","2023/9/17","9-10",1,"DGS","Raptor","Falco amurensis","Amur Falcon"
"10","2023/9/17","9-10",1,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"11","2023/9/17","9-10",7,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"12","2023/9/17","10-11",1,"DGS","Raptor","Lophospiza trivirgata","Crested Goshawk"
"13","2023/9/17","10-11",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"14","2023/9/17","12-13",1,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"15","2023/9/17","13-14",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"16","2023/9/17","14-15",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"17","2023/9/17","14-15",20,"DGS","Raptor","Raptors (unidentified)","Unidentified Raptors"
"18","2023/9/17","15-16",2,"DGS","Raptor","Raptors (unidentified)","Unidentified Raptors"
"19","2023/9/17","16-17",2,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"20","2023/9/18","7-8",30,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"21","2023/9/18","7-8",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"22","2023/9/18","8-9",10,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"23","2023/9/18","8-9",5,"DGS","Swift","Aerodramus brevirostris","Himalayan Swiftlet"
"24","2023/9/18","9-10",50,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"25","2023/9/18","9-10",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"26","2023/9/18","10-11",5,"DGS","Raptor","Lophospiza trivirgata","Crested Goshawk"
"27","2023/9/18","10-11",60,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"28","2023/9/18","10-11",3,"DGS","Raptor","Tachyspiza gularis","Japanese Sparrowhawk"
"29","2023/9/18","10-11",2,"DGS","Raptor","Raptors (unidentified)","Unidentified Raptors"
"30","2023/9/18","10-11",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"31","2023/9/18","10-11",2,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"32","2023/9/18","10-11",5,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"33","2023/9/18","11-12",2,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"34","2023/9/18","11-12",4,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"35","2023/9/18","12-13",1,"DGS","Raptor","Eagles (unidentified)","Unidentified Eagles"
"36","2023/9/18","13-14",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"37","2023/9/18","14-15",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"38","2023/9/18","14-15",3,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"39","2023/9/19","7-8",2,"DGS","Raptor","Lophospiza trivirgata","Crested Goshawk"
"40","2023/9/19","7-8",1,"DGS","Raptor","Ictinaetus malaiensis","Black Eagle"
"41","2023/9/19","7-8",1,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"42","2023/9/19","8-9",9,"DGS","Raptor","Lophospiza trivirgata","Crested Goshawk"
"43","2023/9/19","8-9",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"44","2023/9/19","8-9",6,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"45","2023/9/19","9-10",12,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"46","2023/9/19","9-10",4,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"47","2023/9/19","10-11",1,"DGS","Raptor","Raptors (unidentified)","Unidentified Raptors"
"48","2023/9/19","11-12",2,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"49","2023/9/20","7-8",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"50","2023/9/20","7-8",2,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"51","2023/9/20","8-9",7,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"52","2023/9/20","8-9",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"53","2023/9/20","8-9",210,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"54","2023/9/20","9-10",5,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"55","2023/9/20","9-10",4,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"56","2023/9/20","9-10",1,"DGS","Raptor","Raptors (unidentified)","Unidentified Raptors"
"57","2023/9/20","9-10",110,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"58","2023/9/20","10-11",2,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"59","2023/9/20","10-11",4,"DGS","Raptor","Tachyspiza gularis","Japanese Sparrowhawk"
"60","2023/9/20","10-11",4,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"61","2023/9/20","10-11",2,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"62","2023/9/20","10-11",195,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"63","2023/9/20","10-11",1,"DGS","Swift","Apus pacificus","Pacific Swift"
"64","2023/9/20","11-12",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"65","2023/9/20","11-12",5,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"66","2023/9/20","11-12",127,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"67","2023/9/20","12-13",2,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"68","2023/9/20","12-13",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"69","2023/9/20","12-13",2,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"70","2023/9/20","12-13",118,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"71","2023/9/20","13-14",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"72","2023/9/20","13-14",1,"DGS","Raptor","Falco subbuteo","Eurasian Hobby"
"73","2023/9/20","13-14",42,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"74","2023/9/20","14-15",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"75","2023/9/20","14-15",13,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"76","2023/9/20","15-16",2,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"77","2023/9/20","16-17",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"78","2023/9/20","16-17",82,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"79","2023/9/20","17-17:30",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"80","2023/9/20","17-17:30",28,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"81","2023/9/20","13-14",1,"DGS","Swift","Hirundapus cochinchinensis","Silver-backed Needletail"
"82","2023/9/20","13-14",1,"DGS","Raptor","Circus spilonotus","Eastern Marsh Harrier"
"83","2023/9/20","11-12",1,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"84","2023/9/20","12-13",1,"DGS","Raptor","Tachyspiza gularis","Japanese Sparrowhawk"
"85","2023/9/21","Before 7",14,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"86","2023/9/21","7-8",5,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"87","2023/9/21","8-9",1,"DGS","Raptor","Lophospiza trivirgata","Crested Goshawk"
"88","2023/9/21","8-9",2,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"89","2023/9/21","8-9",3,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"90","2023/9/21","8-9",32,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"91","2023/9/21","9-10",2,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"92","2023/9/21","9-10",5,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"93","2023/9/21","10-11",1,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"94","2023/9/21","10-11",17,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"95","2023/9/21","11-12",35,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"96","2023/9/21","15-16",1,"DGS","Raptor","Pandion haliaetus","Osprey"
"97","2023/9/21","15-16",1,"DGS","Raptor","Tachyspiza soloensis","Chinese Sparrowhawk"
"98","2023/9/21","15-16",10,"DGS","Swift","Hirundapus caudacutus","White-throated Needletail"
"99","2023/9/22","Before 7",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
"100","2023/9/22","7-8",1,"DGS","Raptor","Falco tinnunculus","Common Kestrel"
