species_richness	fertilizer	method
1	48.2	conventional
5	43.8	conventional
8	44.23	conventional
8	51.14	conventional
9	37.89	conventional
9	47.47	conventional
9	40.26	conventional
10	37.94	conventional
12	43.76	conventional
13	38.02	conventional
14	40.84	conventional
16	46.25	conventional
17	41.27	conventional
17	47.23	conventional
18	25.95	conventional
18	24.52	conventional
20	23.35	conventional
21	31.26	conventional
21	31.93	conventional
23	28.33	conventional
24	18.98	conventional
24	34.13	conventional
25	15.69	conventional
25	13.61	conventional
26	31.15	conventional
26	29.43	conventional
29	40.12	conventional
29	18.23	conventional
29	34.67	conventional
29	18.15	conventional
29	5.47	conventional
30	23.2	conventional
30	26.21	conventional
31	14.08	conventional
32	7.78	conventional
33	29.4	conventional
34	3.51	conventional
35	0.8	conventional
36	12.8	conventional
37	14.57	conventional
37	21.59	conventional
37	22	conventional
37	2.01	organic
38	8.18	conventional
39	35.71	organic
40	25.75	organic
40	27.32	organic
40	17.72	organic
40	7.65	conventional
40	21.87	conventional
41	14.83	organic
41	29.29	organic
42	40.8	organic
42	15.41	organic
42	16.15	organic
43	25.69	organic
43	7.08	organic
43	9.1	organic
43	50.21	organic
44	35.39	organic
44	7	organic
44	33.05	organic
44	37.98	organic
45	38.12	organic
45	41.73	organic
45	26.88	organic
46	21.7	organic
46	6.89	conventional
47	11.89	organic
47	9.49	organic
47	5.21	organic
47	-1.17	organic
48	46.11	organic
48	42.58	organic
48	45.3	organic
49	11.35	conventional
49	20.21	organic
49	12.9	organic
50	29.18	organic
51	22.18	organic
51	29.28	organic
51	4.88	conventional
51	42.35	organic
52	50.18	organic
52	47.76	organic
53	3.87	organic
54	13.09	organic
55	43.83	organic
55	25.79	organic
55	9.13	organic
56	22.04	organic
56	46.82	organic
57	5.3	conventional
57	2.33	organic
58	33.39	organic
58	17.97	organic
59	31.83	organic
62	9.56	organic
65	37.84	organic
65	0.07	conventional
