Site,CWM.Plant.Height,CWM.LDMC,CWM.SLA,CWM.Seed.Mass,CWM.Leaf.Thickness,CWM.Leaf.N,CWM.C.N,SpRich,Harvest,Ammonium,Nitrate,Minerals,pH
10a,0.463025238,0.220143814,23.43525984,0.978015077,0.217494078,22.15183664,21.23298468,14,3.947023792,2,0,1,6.74
10b,0.47827007,0.239715076,25.26262333,0.762059133,0.191770301,22.10710822,21.30140976,9,3.617533634,2,0,1,6.02
10c,0.440734158,0.225367309,24.97376251,0.703664285,0.203710487,22.03956804,21.41309982,8,3.869697579,2,0,1,4.9
10d,0.436708848,0.316230416,28.00999707,0.49515095,0.115002437,18.96202907,23.38042461,3,2.782941557,2,0,1,3.66
11.1a,0.87770517,0.279051053,28.35578823,1.964080032,0.136078828,26.48287606,17.96498591,10,5.663407866,3,0,1,6.58
11.1b,0.787915641,0.278066973,27.42987004,1.980999608,0.139322527,24.96800411,18.92527118,10,5.506922942,3,0,1,6.08
11.1c,0.646802003,0.28579607,26.59831936,0.988028204,0.138739015,22.25208874,20.73526921,8,4.672080689,3,0,1,4.94
11.1d,0.523532221,0.214996571,27.62803095,0.35250857,0.168377675,21.70325296,19.98216365,1,4.626190962,3,0,1,3.64
11.2a,0.90712094,0.281825129,28.57532764,2.128838504,0.133030546,26.85486557,17.72928194,9,5.636486979,3,0,1,6.82
11.2b,0.766079005,0.293666694,27.39627015,1.572943009,0.12864105,23.92918592,19.71658381,8,5.189868743,3,0,1,6.06
11.2c,0.694535548,0.300909496,26.784808,1.180727762,0.128521261,22.80085543,20.47926415,8,4.704206207,3,0,1,5.08
11.2d,0.522193019,0.216699515,27.76910612,0.344266619,0.166698371,21.71421175,19.98870218,2,4.992334785,3,0,1,4.26
12a,0.42366306,0.223172037,24.82734146,1.284267791,0.201327345,24.62725141,19.31249714,32,2.37258601,0,0,0,6.96
12b,0.425775586,0.223097466,25.17509787,1.137838745,0.199460382,23.44849995,20.06436067,31,2.392692209,0,0,0,6.34
12c,0.429922219,0.222024062,25.08309267,0.82038328,0.20242416,21.82684859,21.27212328,24,1.915715354,0,0,0,5.56
12d,0.42171115,0.216549531,25.67461801,0.766242217,0.203286966,21.71788565,21.15302994,24,1.949657864,0,0,0,5.42
14.2a,0.893835693,0.270041581,29.01446791,2.254575703,0.139752848,27.30938943,17.44423209,15,4.648648893,0,2,1,6.82
14.2b,0.848905784,0.268429324,28.3389856,2.236676665,0.14535467,26.40803121,18.13791127,13,5.227445502,0,2,1,6.2
14.2c,0.832564665,0.269355241,27.65825581,2.149205827,0.148994905,26.62418577,18.00734507,13,4.821476974,0,2,1,5.66
14.2d,0.781941403,0.273480567,27.37120827,2.03008022,0.147709598,25.70102812,18.75832944,14,4.742385587,0,2,1,5.5
